CBBTCUSD
DATE;Bitcoin;Ethereum;GoTrend(E);GoTrend(B);S&P500;Price(Gold);Inflation;MoneySupply;VIX
2015-08-03;286.3900000000000000;0.701897;1;2;2102.4660000000000000;1090.2100000000000000;1.7460000000000000;12036.0;12.5500000000000000
2015-08-10;274.6671428571428571;1.566030;1;2;2091.6940000000000000;1090.0500000000000000;1.6860000000000000;12064.7;12.9800000000000000
2015-08-17;264.1057142857142857;1.352590;1;2;2089.4980000000000000;1116.2900000000000000;1.6200000000000000;12097.8;13.3320000000000000
2015-08-24;227.0371428571428571;1.319270;0;2;2015.2720000000000000;1136.6300000000000000;1.5460000000000000;12042.4;23.3900000000000000
2015-08-31;228.3771428571428571;1.295830;0;2;1951.3660000000000000;1135.6625000000000000;1.5760000000000000;12077.4;29.3840000000000000
2015-09-07;233.6342857142857143;0.936003;0;2;1933.7650000000000000;1131.5900000000000000;1.5450000000000000;12162.0;27.7250000000000000
2015-09-14;237.2342857142857143;0.938445;0;2;1955.5640000000000000;1113.0500000000000000;1.5660000000000000;12188.2;24.5900000000000000
2015-09-21;231.4114285714285714;0.720839;0;2;1977.7200000000000000;1121.2500000000000000;1.5600000000000000;12134.6;21.4900000000000000
2015-09-28;234.4228571428571429;0.668379;0;2;1925.3700000000000000;1134.2700000000000000;1.4740000000000000;12075.1;23.8580000000000000
2015-10-05;238.7700000000000000;0.634963;0;2;1933.2700000000000000;1120.3900000000000000;1.4500000000000000;12172.2;22.8720000000000000
2015-10-12;245.6300000000000000;0.517734;0;2;2004.3060000000000000;1148.7600000000000000;1.5475000000000000;12161.7;17.6940000000000000
2015-10-19;260.8171428571428571;0.616039;1;2;2017.7120000000000000;1171.8900000000000000;1.4880000000000000;12168.5;16.3560000000000000
2015-10-26;278.6957142857142857;1.055670;1;4;2049.7100000000000000;1170.9200000000000000;1.4780000000000000;12134.0;15.3300000000000000
2015-11-02;322.0585714285714286;1.027470;1;3;2085.8120000000000000;1155.9600000000000000;1.5100000000000000;12250.4;14.7180000000000000
2015-11-09;387.6528571428571429;0.906368;1;3;2097.9620000000000000;1111.9000000000000000;1.5780000000000000;12293.0;15.1900000000000000
2015-11-16;330.7757142857142857;0.968018;0;2;2055.7840000000000000;1089.3900000000000000;1.5300000000000000;12324.6;17.5920000000000000
2015-11-23;327.7842857142857143;0.878614;1;2;2078.2040000000000000;1075.5800000000000000;1.5720000000000000;12271.9;16.7540000000000000
2015-11-30;352.4400000000000000;0.835500;0;4;2087.1325000000000000;1067.2000000000000000;1.6050000000000000;12305.7;15.5925000000000000
2015-12-07;374.1000000000000000;0.952884;1;3;2080.1040000000000000;1066.4900000000000000;1.5800000000000000;12370.4;15.8680000000000000
2015-12-14;431.5242857142857143;0.903885;1;3;2039.5500000000000000;1071.4700000000000000;1.5020000000000000;12408.3;20.7340000000000000
2015-12-21;453.8900000000000000;0.856365;1;2;2037.0140000000000000;1065.4300000000000000;1.4640000000000000;12463.4;19.4300000000000000
2015-12-28;436.2857142857142857;0.971905;0;3;2055.1875000000000000;1073.4666666666666667;1.4975000000000000;12454.6;16.2050000000000000
2016-01-04;432.7157142857142857;0.999231;1;3;2049.5800000000000000;1067.5000000000000000;1.5400000000000000;12487.9;18.0700000000000000
2016-01-11;446.7542857142857143;1.327470;1;3;1959.1520000000000000;1092.0000000000000000;1.5040000000000000;12542.9;23.2460000000000000
2016-01-18;400.9128571428571429;2.141200;2;2;1907.7825000000000000;1087.7900000000000000;1.4125000000000000;12498.9;24.6650000000000000
2016-01-25;395.4342857142857143;2.306040;1;2;1878.7260000000000000;1095.6700000000000000;1.3340000000000000;12413.7;25.3640000000000000
2016-02-01;380.3371428571428571;2.964340;3;2;1911.9120000000000000;1117.0200000000000000;1.3980000000000000;12456.6;21.6420000000000000
2016-02-08;376.9085714285714286;5.239730;2;3;1892.9000000000000000;1146.3500000000000000;1.3320000000000000;12469.2;22.9700000000000000
